Sourcefile	20190708 131704 Aquifer CO2 leak-v3.qmp			00h00-00h29																															
Exporttime	08/07/2019 16:25																																		
																																			
Start Time	08/07/2019 13:20																																	1200	
End Time	08/07/2019 16:25																																	19,52171791	
																																			
		He			CH4			H2O			N2			O2			Ar			CO2			Kr82-SEM			Kr84-SEM			Kr86-SEM			HeSEM			CO2-seem
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
08/07/2019 13:20	0	-5,17E-16	08/07/2019 13:20	5,143	1,61E-12	08/07/2019 13:20	10,285	2,44E-12	08/07/2019 13:20	15,408	8,32E-11	08/07/2019 13:20	20,53	1,56E-11	08/07/2019 13:20	25,67	1,38E-12	08/07/2019 13:20	30,812	1,81E-13	08/07/2019 13:21	40,967	1,00E-13	08/07/2019 13:21	46,11	5,87E-13	08/07/2019 13:21	51,251	1,93E-13	08/07/2019 13:21	56,372	2,17E-11	08/07/2019 13:21	61,47	1,33E-09
08/07/2019 13:21	71,627	3,05E-15	08/07/2019 13:21	76,717	1,65E-12	08/07/2019 13:21	81,807	2,46E-12	08/07/2019 13:21	86,896	8,33E-11	08/07/2019 13:22	91,989	1,55E-11	08/07/2019 13:22	97,078	1,40E-12	08/07/2019 13:22	102,167	3,98E-13	08/07/2019 13:22	112,322	7,71E-14	08/07/2019 13:22	117,414	3,88E-13	08/07/2019 13:22	122,506	1,41E-13	08/07/2019 13:22	127,601	1,36E-11	08/07/2019 13:22	132,692	1,13E-09
08/07/2019 13:22	142,841	9,63E-17	08/07/2019 13:22	147,937	1,63E-12	08/07/2019 13:23	153,032	2,40E-12	08/07/2019 13:23	158,122	8,34E-11	08/07/2019 13:23	163,211	1,56E-11	08/07/2019 13:23	168,303	1,41E-12	08/07/2019 13:23	173,395	1,97E-13	08/07/2019 13:23	183,551	8,48E-14	08/07/2019 13:23	188,642	2,86E-13	08/07/2019 13:23	193,731	7,83E-14	08/07/2019 13:23	198,838	3,84E-12	08/07/2019 13:23	203,932	2,97E-09
08/07/2019 13:24	214,092	-6,70E-16	08/07/2019 13:24	219,187	1,69E-12	08/07/2019 13:24	224,279	2,42E-12	08/07/2019 13:24	229,368	8,28E-11	08/07/2019 13:24	234,458	1,55E-11	08/07/2019 13:24	239,55	1,39E-12	08/07/2019 13:24	244,645	8,31E-13	08/07/2019 13:24	254,805	5,76E-14	08/07/2019 13:24	259,902	1,87E-13	08/07/2019 13:24	264,993	6,19E-14	08/07/2019 13:24	270,084	2,91E-12	08/07/2019 13:25	275,177	3,61E-09
08/07/2019 13:25	285,338	-1,52E-15	08/07/2019 13:25	290,427	1,69E-12	08/07/2019 13:25	295,52	2,39E-12	08/07/2019 13:25	300,61	8,27E-11	08/07/2019 13:25	305,704	1,54E-11	08/07/2019 13:25	310,797	1,39E-12	08/07/2019 13:25	315,891	8,52E-13	08/07/2019 13:25	326,042	5,42E-14	08/07/2019 13:25	331,136	1,75E-13	08/07/2019 13:26	336,226	5,18E-14	08/07/2019 13:26	341,318	2,70E-12	08/07/2019 13:26	346,411	3,66E-09
08/07/2019 13:26	356,574	-7,57E-16	08/07/2019 13:26	361,665	1,69E-12	08/07/2019 13:26	366,758	2,39E-12	08/07/2019 13:26	371,851	8,26E-11	08/07/2019 13:26	376,944	1,54E-11	08/07/2019 13:26	382,034	1,38E-12	08/07/2019 13:26	387,123	8,60E-13	08/07/2019 13:27	397,283	5,52E-14	08/07/2019 13:27	402,374	1,87E-13	08/07/2019 13:27	407,468	5,30E-14	08/07/2019 13:27	412,561	2,62E-12	08/07/2019 13:27	417,656	3,68E-09
08/07/2019 13:27	427,811	-7,58E-16	08/07/2019 13:27	432,9	1,69E-12	08/07/2019 13:27	437,996	2,39E-12	08/07/2019 13:27	443,09	8,25E-11	08/07/2019 13:27	448,18	1,54E-11	08/07/2019 13:28	453,272	1,38E-12	08/07/2019 13:28	458,365	8,63E-13	08/07/2019 13:28	468,518	4,80E-14	08/07/2019 13:28	473,612	1,75E-13	08/07/2019 13:28	478,705	5,63E-14	08/07/2019 13:28	483,794	2,57E-12	08/07/2019 13:28	488,884	3,69E-09
08/07/2019 13:28	499,038	-1,50E-15	08/07/2019 13:28	504,133	1,69E-12	08/07/2019 13:28	509,225	2,39E-12	08/07/2019 13:29	514,314	8,24E-11	08/07/2019 13:29	519,405	1,54E-11	08/07/2019 13:29	524,497	1,38E-12	08/07/2019 13:29	529,591	8,63E-13	08/07/2019 13:29	539,743	4,76E-14	08/07/2019 13:29	544,833	1,64E-13	08/07/2019 13:29	549,925	5,73E-14	08/07/2019 13:29	555,019	2,56E-12	08/07/2019 13:29	560,11	3,69E-09
08/07/2019 13:29	570,265	-2,34E-15	08/07/2019 13:30	575,356	1,69E-12	08/07/2019 13:30	580,445	2,39E-12	08/07/2019 13:30	585,538	8,22E-11	08/07/2019 13:30	590,63	1,54E-11	08/07/2019 13:30	595,72	1,38E-12	08/07/2019 13:30	600,812	8,62E-13	08/07/2019 13:30	610,963	4,34E-14	08/07/2019 13:30	616,053	1,63E-13	08/07/2019 13:30	621,14	5,73E-14	08/07/2019 13:30	626,23	2,55E-12	08/07/2019 13:30	631,323	3,68E-09
08/07/2019 13:31	641,478	-8,35E-16	08/07/2019 13:31	646,572	1,68E-12	08/07/2019 13:31	651,661	2,39E-12	08/07/2019 13:31	656,753	8,21E-11	08/07/2019 13:31	661,843	1,53E-11	08/07/2019 13:31	666,935	1,38E-12	08/07/2019 13:31	672,027	8,59E-13	08/07/2019 13:31	682,18	4,81E-14	08/07/2019 13:31	687,275	1,66E-13	08/07/2019 13:32	692,369	5,76E-14	08/07/2019 13:32	697,455	2,49E-12	08/07/2019 13:32	702,549	3,68E-09
08/07/2019 13:32	712,71	-2,96E-15	08/07/2019 13:32	717,799	1,68E-12	08/07/2019 13:32	722,894	2,39E-12	08/07/2019 13:32	727,985	8,20E-11	08/07/2019 13:32	733,081	1,53E-11	08/07/2019 13:32	738,172	1,37E-12	08/07/2019 13:32	743,263	8,58E-13	08/07/2019 13:33	753,417	4,75E-14	08/07/2019 13:33	758,507	1,65E-13	08/07/2019 13:33	763,599	5,62E-14	08/07/2019 13:33	768,688	2,49E-12	08/07/2019 13:33	773,783	3,67E-09
08/07/2019 13:33	783,938	-1,46E-15	08/07/2019 13:33	789,025	1,68E-12	08/07/2019 13:33	794,115	2,38E-12	08/07/2019 13:33	799,202	8,19E-11	08/07/2019 13:33	804,294	1,53E-11	08/07/2019 13:33	809,385	1,37E-12	08/07/2019 13:34	814,48	8,57E-13	08/07/2019 13:34	824,633	4,58E-14	08/07/2019 13:34	829,722	1,61E-13	08/07/2019 13:34	834,811	4,79E-14	08/07/2019 13:34	839,901	2,52E-12	08/07/2019 13:34	844,993	3,65E-09
08/07/2019 13:34	855,151	-1,48E-15	08/07/2019 13:34	860,242	1,68E-12	08/07/2019 13:34	865,331	2,37E-12	08/07/2019 13:34	870,426	8,18E-11	08/07/2019 13:35	875,521	1,53E-11	08/07/2019 13:35	880,611	1,37E-12	08/07/2019 13:35	885,706	8,53E-13	08/07/2019 13:35	895,865	4,74E-14	08/07/2019 13:35	900,959	1,57E-13	08/07/2019 13:35	906,051	6,19E-14	08/07/2019 13:35	911,143	2,46E-12	08/07/2019 13:35	916,239	3,64E-09
08/07/2019 13:35	926,397	-1,18E-15	08/07/2019 13:36	931,488	1,68E-12	08/07/2019 13:36	936,579	2,36E-12	08/07/2019 13:36	941,666	8,17E-11	08/07/2019 13:36	946,755	1,53E-11	08/07/2019 13:36	951,844	1,37E-12	08/07/2019 13:36	956,934	8,51E-13	08/07/2019 13:36	967,091	5,35E-14	08/07/2019 13:36	972,188	1,62E-13	08/07/2019 13:36	977,282	5,35E-14	08/07/2019 13:36	982,374	2,45E-12	08/07/2019 13:36	987,469	3,64E-09
08/07/2019 13:37	997,626	-1,18E-15	08/07/2019 13:37	1002,714	1,67E-12	08/07/2019 13:37	1007,8	2,35E-12	08/07/2019 13:37	1012,894	8,15E-11	08/07/2019 13:37	1017,985	1,52E-11	08/07/2019 13:37	1023,077	1,37E-12	08/07/2019 13:37	1028,168	8,50E-13	08/07/2019 13:37	1038,32	5,29E-14	08/07/2019 13:37	1043,409	1,59E-13	08/07/2019 13:37	1048,504	5,37E-14	08/07/2019 13:38	1053,599	2,45E-12	08/07/2019 13:38	1058,691	3,62E-09
